# rho[g/cm^3] , P[dyn/cm^2],  n_B[cm^{-3}] , mu [erg]
1.91870546964056E+016, 9.22061200544616E+036, 4.5E+039, 0.005881321
1.91216640914048E+016, 9.1845522961392E+036, 4.49E+039, 0.0058732988
1.90563627609714E+016, 9.14855646632483E+036, 4.48E+039, 0.005865273
1.89911507457005E+016, 9.11262452850903E+036, 4.47E+039, 0.0058572435
1.89260280864562E+016, 9.07675649527976E+036, 4.46E+039, 0.0058492103
1.88609948240619E+016, 9.04095237921509E+036, 4.45E+039, 0.0058411735
1.87960509996791E+016, 9.00521219299561E+036, 4.44E+039, 0.005833133
1.8731196654428E+016, 8.96953594929213E+036, 4.43E+039, 0.0058250887
1.86664318297599E+016, 8.93392366087577E+036, 4.42E+039, 0.0058170407
1.86017565671567E+016, 8.89837534052855E+036, 4.41E+039, 0.005808989
1.8537170908357E+016, 8.86289100111178E+036, 4.4E+039, 0.0058009336
1.84726748951922E+016, 8.82747065551577E+036, 4.39E+039, 0.0057928743
1.84082685695821E+016, 8.79211431666001E+036, 4.38E+039, 0.0057848113
1.83439519738732E+016, 8.75682199759231E+036, 4.37E+039, 0.0057767445
1.82797251501889E+016, 8.72159371129735E+036, 4.36E+039, 0.0057686739
1.82155881411235E+016, 8.68642947090113E+036, 4.35E+039, 0.0057605994
1.81515409893403E+016, 8.65132928955272E+036, 4.34E+039, 0.0057525211
1.80875837375657E+016, 8.61629318042265E+036, 4.33E+039, 0.005744439
1.8023716428809E+016, 8.58132115676767E+036, 4.32E+039, 0.0057363529
1.79599391061769E+016, 8.54641323187527E+036, 4.31E+039, 0.005728263
1.78962518129895E+016, 8.51156941909959E+036, 4.3E+039, 0.0057201692
1.78326545927345E+016, 8.47678973184622E+036, 4.29E+039, 0.0057120715
1.77691474890373E+016, 8.44207418356431E+036, 4.28E+039, 0.0057039699
1.77057305457164E+016, 8.40742278776311E+036, 4.27E+039, 0.0056958643
1.76424038067623E+016, 8.37283555800487E+036, 4.26E+039, 0.0056877547
1.75791673162265E+016, 8.33831250787303E+036, 4.25E+039, 0.0056796412
1.75160211185119E+016, 8.30385365105722E+036, 4.24E+039, 0.0056715237
1.74529652580997E+016, 8.26945900127353E+036, 4.23E+039, 0.0056634022
1.73899997796006E+016, 8.2351285722784E+036, 4.22E+039, 0.0056552766
1.73271247279357E+016, 8.20086237792362E+036, 4.21E+039, 0.005647147
1.72643401480582E+016, 8.16666043207252E+036, 4.2E+039, 0.0056390134
1.72016460851816E+016, 8.13252274866884E+036, 4.19E+039, 0.0056308757
1.71390425847083E+016, 8.09844934171449E+036, 4.18E+039, 0.0056227339
1.70765296921732E+016, 8.06444022525384E+036, 4.17E+039, 0.005614588
1.70141074532867E+016, 8.03049541338572E+036, 4.16E+039, 0.005606438
1.69517759139651E+016, 7.99661492027306E+036, 4.15E+039, 0.0055982838
1.68895351202982E+016, 7.96279876013295E+036, 4.14E+039, 0.0055901255
1.68273851186435E+016, 7.92904694726417E+036, 4.13E+039, 0.0055819631
1.67653259553958E+016, 7.89535949598025E+036, 4.12E+039, 0.0055737964
1.67033576772955E+016, 7.86173642069888E+036, 4.11E+039, 0.0055656255
1.66414803310676E+016, 7.82817773583739E+036, 4.1E+039, 0.0055574505
1.6579693963801E+016, 7.79468345592306E+036, 4.09E+039, 0.0055492712
1.65179986227136E+016, 7.76125359552432E+036, 4.08E+039, 0.0055410876
1.64563943552588E+016, 7.72788816928251E+036, 4.07E+039, 0.0055328998
1.63948812090018E+016, 7.69458719187517E+036, 4.06E+039, 0.0055247076
1.63334592317272E+016, 7.66135067804795E+036, 4.05E+039, 0.0055165112
1.62721284714652E+016, 7.62817864262194E+036, 4.04E+039, 0.0055083105
1.62108889764397E+016, 7.59507110047881E+036, 4.03E+039, 0.0055001054
1.61497407950277E+016, 7.56202806654893E+036, 4.02E+039, 0.0054918959
1.6088683975749E+016, 7.52904955580785E+036, 4.01E+039, 0.0054836821
1.6027718567486E+016, 7.49613558334183E+036, 4E+039, 0.0054754639
1.59668446192087E+016, 7.46328616426613E+036, 3.99E+039, 0.0054672412
1.59060621800656E+016, 7.43050131375209E+036, 3.98E+039, 0.0054590142
1.58453712995257E+016, 7.39778104706926E+036, 3.97E+039, 0.0054507826
1.57847720271318E+016, 7.36512537951219E+036, 3.96E+039, 0.0054425467
1.57242644127931E+016, 7.33253432648757E+036, 3.95E+039, 0.0054343062
1.56638485064276E+016, 7.3000079034077E+036, 3.94E+039, 0.0054260612
1.5603524358319E+016, 7.26754612579641E+036, 3.93E+039, 0.0054178117
1.55432920189091E+016, 7.23514900922814E+036, 3.92E+039, 0.0054095577
1.54831515388811E+016, 7.20281656935167E+036, 3.91E+039, 0.0054012991
1.54231029691259E+016, 7.17054882188132E+036, 3.9E+039, 0.0053930359
1.53631463606601E+016, 7.13834578257146E+036, 3.89E+039, 0.0053847681
1.53032817648135E+016, 7.10620746727339E+036, 3.88E+039, 0.0053764957
1.52435092331726E+016, 7.07413389191708E+036, 3.87E+039, 0.0053682186
1.51838288174E+016, 7.04212507245958E+036, 3.86E+039, 0.0053599369
1.5124240569532E+016, 7.01018102497119E+036, 3.85E+039, 0.0053516505
1.50647445417219E+016, 6.97830176556086E+036, 3.84E+039, 0.0053433594
1.50053407864127E+016, 6.94648731042724E+036, 3.83E+039, 0.0053350636
1.49460293562191E+016, 6.91473767582329E+036, 3.82E+039, 0.005326763
1.48868103039977E+016, 6.88305287807697E+036, 3.81E+039, 0.0053184577
1.48276836829079E+016, 6.85143293360979E+036, 3.8E+039, 0.0053101476
1.47686495462671E+016, 6.81987785889389E+036, 3.79E+039, 0.0053018327
1.47097079476391E+016, 6.78838767047817E+036, 3.78E+039, 0.005293513
1.46508589407901E+016, 6.75696238497527E+036, 3.77E+039, 0.0052851884
1.45921025798044E+016, 6.72560201909576E+036, 3.76E+039, 0.005276859
1.45334389189342E+016, 6.69430658960385E+036, 3.75E+039, 0.0052685246
1.44748680126686E+016, 6.66307611333762E+036, 3.74E+039, 0.0052601854
1.44163899158554E+016, 6.63191060724571E+036, 3.73E+039, 0.0052518412
1.43580046833768E+016, 6.60081008829036E+036, 3.72E+039, 0.0052434921
1.42997123705303E+016, 6.56977457356153E+036, 3.71E+039, 0.0052351379
1.42415130327899E+016, 6.53880408020459E+036, 3.7E+039, 0.0052267788
1.41834067259628E+016, 6.50789862546842E+036, 3.69E+039, 0.0052184147
1.41253935059592E+016, 6.47705822663588E+036, 3.68E+039, 0.0052100455
1.40674734290186E+016, 6.44628290109201E+036, 3.67E+039, 0.0052016713
1.40096465516435E+016, 6.41557266630377E+036, 3.66E+039, 0.005193292
1.39519129306531E+016, 6.3849275398355E+036, 3.65E+039, 0.0051849075
1.38942726229698E+016, 6.35434753928728E+036, 3.64E+039, 0.0051765179
1.38367256858872E+016, 6.32383268237278E+036, 3.63E+039, 0.0051681232
1.37792721769528E+016, 6.29338298688514E+036, 3.62E+039, 0.0051597233
1.37219121539134E+016, 6.26299847068143E+036, 3.61E+039, 0.0051513182
1.36646456748763E+016, 6.23267915172911E+036, 3.6E+039, 0.0051429078
1.36074727981255E+016, 6.20242504805315E+036, 3.59E+039, 0.0051344922
1.35503935822585E+016, 6.17223617777497E+036, 3.58E+039, 0.0051260713
1.34934080861511E+016, 6.14211255910381E+036, 3.57E+039, 0.0051176451
1.34365163689101E+016, 6.11205421032115E+036, 3.56E+039, 0.0051092136
1.33797184899739E+016, 6.08206114981132E+036, 3.55E+039, 0.0051007768
1.33230145090123E+016, 6.05213339603238E+036, 3.54E+039, 0.0050923345
1.32664044859901E+016, 6.02227096753385E+036, 3.53E+039, 0.0050838869
1.32098884811695E+016, 5.99247388295803E+036, 3.52E+039, 0.0050754338
1.31534665551067E+016, 5.96274216103918E+036, 3.51E+039, 0.0050669753
1.30971387685439E+016, 5.93307582057147E+036, 3.5E+039, 0.0050585113
1.30409051826513E+016, 5.90347488048046E+036, 3.49E+039, 0.0050500417
1.29847658587562E+016, 5.87393935974348E+036, 3.48E+039, 0.0050415667
1.2928720858611E+016, 5.84446927746823E+036, 3.47E+039, 0.0050330861
1.28727702441413E+016, 5.81506465281869E+036, 3.46E+039, 0.0050245999
1.28169140776651E+016, 5.78572550508026E+036, 3.45E+039, 0.0050161081
1.27611524217392E+016, 5.75645185361414E+036, 3.44E+039, 0.0050076107
1.27054853392178E+016, 5.72724371787443E+036, 3.43E+039, 0.0049991076
1.26499128933059E+016, 5.69810111742422E+036, 3.42E+039, 0.0049905988
1.25944351474791E+016, 5.66902407191227E+036, 3.41E+039, 0.0049820843
1.25390521655022E+016, 5.64001260107822E+036, 3.4E+039, 0.004973564
1.24837640115456E+016, 5.61106672478618E+036, 3.39E+039, 0.004965038
1.24285707499785E+016, 5.58218646296595E+036, 3.38E+039, 0.0049565062
1.23734724455157E+016, 5.55337183565388E+036, 3.37E+039, 0.0049479685
1.23184691632334E+016, 5.52462286299927E+036, 3.36E+039, 0.004939425
1.22635609685104E+016, 5.49593956524612E+036, 3.35E+039, 0.0049308755
1.22087479270225E+016, 5.46732196273247E+036, 3.34E+039, 0.0049223202
1.21540301047669E+016, 5.4387700758968E+036, 3.33E+039, 0.0049137589
1.2099407568145E+016, 5.41028392530274E+036, 3.32E+039, 0.0049051917
1.20448803837654E+016, 5.38186353158138E+036, 3.31E+039, 0.0048966184
1.19904486186821E+016, 5.35350891550109E+036, 3.3E+039, 0.0048880391
1.1936112340242E+016, 5.32522009792286E+036, 3.29E+039, 0.0048794537
1.18818716160929E+016, 5.2969970998027E+036, 3.28E+039, 0.0048708622
1.18277265142849E+016, 5.26883994222156E+036, 3.27E+039, 0.0048622646
1.17736771031825E+016, 5.2407486463596E+036, 3.26E+039, 0.0048536608
1.1719723451502E+016, 5.21272323350719E+036, 3.25E+039, 0.0048450509
1.16658656283322E+016, 5.18476372507053E+036, 3.24E+039, 0.0048364347
1.16121037030405E+016, 5.15687014254523E+036, 3.23E+039, 0.0048278123
1.15584377454771E+016, 5.1290425075756E+036, 3.22E+039, 0.0048191835
1.15048678257109E+016, 5.10128084187706E+036, 3.21E+039, 0.0048105485
1.14513940142401E+016, 5.07358516729851E+036, 3.2E+039, 0.0048019071
1.13980163819861E+016, 5.04595550582037E+036, 3.19E+039, 0.0047932593
1.13447350000735E+016, 5.01839187949005E+036, 3.18E+039, 0.0047846051
1.12915499401836E+016, 4.99089431052589E+036, 3.17E+039, 0.0047759445
1.12384612742514E+016, 4.96346282122797E+036, 3.16E+039, 0.0047672773
1.11854690746174E+016, 4.93609743402341E+036, 3.15E+039, 0.0047586037
1.11325734140259E+016, 4.90879817146508E+036, 3.14E+039, 0.0047499234
1.10797743656036E+016, 4.88156505622637E+036, 3.13E+039, 0.0047412366
1.10270720028193E+016, 4.85439811108848E+036, 3.12E+039, 0.0047325432
1.09744663995493E+016, 4.82729735896012E+036, 3.11E+039, 0.0047238431
1.09219576301109E+016, 4.80026282288783E+036, 3.1E+039, 0.0047151364
1.08695457691492E+016, 4.77329452602194E+036, 3.09E+039, 0.0047064229
1.08172308917445E+016, 4.74639249164883E+036, 3.08E+039, 0.0046977026
1.07650130734059E+016, 4.71955674318927E+036, 3.07E+039, 0.0046889755
1.07128923899414E+016, 4.69278730415971E+036, 3.06E+039, 0.0046802416
1.06608689177359E+016, 4.6660841982541E+036, 3.05E+039, 0.0046715008
1.0608942733457E+016, 4.63944744925853E+036, 3.04E+039, 0.0046627531
1.05571139142287E+016, 4.6128770811012E+036, 3.03E+039, 0.0046539984
1.05053825375974E+016, 4.58637311784264E+036, 3.02E+039, 0.0046452368
1.04537486815389E+016, 4.55993558367877E+036, 3.01E+039, 0.0046364681
1.04022124244626E+016, 4.53356450294091E+036, 3E+039, 0.0046276924
1.03507738451963E+016, 4.50725990009286E+036, 2.99E+039, 0.0046189096
1.02994330230055E+016, 4.48102179973524E+036, 2.98E+039, 0.0046101196
1.02481900376E+016, 4.4548502266084E+036, 2.97E+039, 0.0046013224
1.01970449691365E+016, 4.42874520559303E+036, 2.96E+039, 0.004592518
1.01459978981988E+016, 4.40270676170473E+036, 2.95E+039, 0.0045837063
1.00950489058439E+016, 4.37673492010665E+036, 2.94E+039, 0.0045748874
1.0044198073594E+016, 4.35082970610886E+036, 2.93E+039, 0.0045660611
9.99344548341174E+015, 4.3249911451594E+036, 2.92E+039, 0.0045572274
9.94279121772553E+015, 4.29921926285336E+036, 2.91E+039, 0.0045483862
9.89223535943923E+015, 4.27351408493501E+036, 2.9E+039, 0.0045395376
9.84177799192521E+015, 4.24787563729553E+036, 2.89E+039, 0.0045306815
9.79141919900968E+015, 4.22230394596983E+036, 2.88E+039, 0.0045218179
9.74115906506449E+015, 4.19679903716279E+036, 2.87E+039, 0.0045129466
9.69099767488967E+015, 4.17136093721533E+036, 2.86E+039, 0.0045040677
9.64093511378168E+015, 4.1459896726241E+036, 2.85E+039, 0.0044951811
9.59097146755288E+015, 4.1206852700479E+036, 2.84E+039, 0.0044862867
9.54110682252544E+015, 4.09544775630539E+036, 2.83E+039, 0.0044773846
9.4913412654545E+015, 4.07027715835323E+036, 2.82E+039, 0.0044684746
9.44167488370451E+015, 4.04517350333741E+036, 2.81E+039, 0.0044595568
9.39210776507306E+015, 4.02013681854189E+036, 2.8E+039, 0.0044506311
9.34263999791927E+015, 3.99516713142688E+036, 2.79E+039, 0.0044416974
9.29327167113987E+015, 3.9702644696208E+036, 2.78E+039, 0.0044327557
9.24400287407885E+015, 3.94542886089514E+036, 2.77E+039, 0.0044238059
9.19483369672815E+015, 3.92066033322265E+036, 2.76E+039, 0.004414848
9.14576422951788E+015, 3.89595891471609E+036, 2.75E+039, 0.004405882
9.09679456347566E+015, 3.87132463367535E+036, 2.74E+039, 0.0043969077
9.04792479015962E+015, 3.84675751856793E+036, 2.73E+039, 0.0043879253
8.99915500170826E+015, 3.82225759804299E+036, 2.72E+039, 0.0043789345
8.95048529078296E+015, 3.79782490091585E+036, 2.71E+039, 0.0043699353
8.90191575064203E+015, 3.77345945618833E+036, 2.7E+039, 0.0043609277
8.85344647506487E+015, 3.74916129302822E+036, 2.69E+039, 0.0043519117
8.80507755850341E+015, 3.72493044081258E+036, 2.68E+039, 0.0043428872
8.75680909587522E+015, 3.70076692906807E+036, 2.67E+039, 0.0043338541
8.7086411827729E+015, 3.67667078753208E+036, 2.66E+039, 0.0043248124
8.66057391534328E+015, 3.65264204611709E+036, 2.65E+039, 0.004315762
8.61260739033835E+015, 3.62868073492674E+036, 2.64E+039, 0.0043067029
8.56474170512564E+015, 3.60478688425819E+036, 2.63E+039, 0.004297635
8.51697695766413E+015, 3.58096052459544E+036, 2.62E+039, 0.0042885583
8.46931324656165E+015, 3.55720168662627E+036, 2.61E+039, 0.0042794727
8.42175067101964E+015, 3.53351040122687E+036, 2.6E+039, 0.0042703782
8.37428933089373E+015, 3.50988669947821E+036, 2.59E+039, 0.0042612746
8.32692932666525E+015, 3.48633061265975E+036, 2.58E+039, 0.004252162
8.27967075945296E+015, 3.46284217225171E+036, 2.57E+039, 0.0042430403
8.23251373102718E+015, 3.43942140993955E+036, 2.56E+039, 0.0042339094
8.18545834384537E+015, 3.41606835762535E+036, 2.55E+039, 0.0042247693
8.13850470098837E+015, 3.39278304740841E+036, 2.54E+039, 0.0042156198
8.091652906218E+015, 3.36956551160256E+036, 2.53E+039, 0.004206461
8.0449030639882E+015, 3.34641578274001E+036, 2.52E+039, 0.0041972928
7.99825527942855E+015, 3.32333389356622E+036, 2.51E+039, 0.0041881151
7.9517096583743E+015, 3.30031987704919E+036, 2.5E+039, 0.0041789279
7.90526630732868E+015, 3.2773737663681E+036, 2.49E+039, 0.004169731
7.85892533352022E+015, 3.25449559493122E+036, 2.48E+039, 0.0041605245
7.81268684489352E+015, 3.23168539637258E+036, 2.47E+039, 0.0041513083
7.76655095013205E+015, 3.208943204559E+036, 2.46E+039, 0.0041420822
7.72051775860201E+015, 3.18626905357425E+036, 2.45E+039, 0.0041328463
7.67458738046375E+015, 3.16366297775138E+036, 2.44E+039, 0.0041236005
7.62875992658652E+015, 3.14112501164823E+036, 2.43E+039, 0.0041143446
7.58303550858969E+015, 3.11865519005993E+036, 2.42E+039, 0.0041050787
7.53741423887626E+015, 3.09625354802849E+036, 2.41E+039, 0.0040958027
7.491896230625E+015, 3.07392012084092E+036, 2.4E+039, 0.0040865164
7.44648159773001E+015, 3.05165494401172E+036, 2.39E+039, 0.0040772199
7.4011704549881E+015, 3.02945805333801E+036, 2.38E+039, 0.004067913
7.35596291788683E+015, 3.00732948483786E+036, 2.37E+039, 0.0040585957
7.31085910276316E+015, 2.98526927479674E+036, 2.36E+039, 0.0040492679
7.26585912677365E+015, 2.96327745975903E+036, 2.35E+039, 0.0040399296
7.22096310787972E+015, 2.94135407652403E+036, 2.34E+039, 0.0040305806
